tag,JD,launch_date,launch_year,type,variant,mission,agency,state_code,category,agency_type
1987-055,2446978.32,7/1/87,1987,Tsiklon-3,,Tselina-D,,SU,O,state
1987-056,2446981.02,7/4/87,1987,Soyuz-U,,Oblik,,SU,O,state
1987-057,2446983.42,7/6/87,1987,Kosmos 11K65M,,Parus,,SU,O,state
1987-058,2446984.96,7/8/87,1987,Soyuz-U,,Siluet No. 7,,SU,O,state
1987-059,2446986.17,7/9/87,1987,Soyuz-U,,Kobal't,,SU,O,state
1987-060,2446987.15,7/10/87,1987,Tsiklon-2,,Plazma-A No. 2,,SU,O,state
1987-061,2446991.08,7/14/87,1987,Kosmos 11K65M,,Taifun-1B,,SU,O,state
1987-062,2446992.68,7/16/87,1987,Tsiklon-3,,Okean-O1 NKhM No. 4,,SU,O,state
1987-063,2446998.58,7/22/87,1987,Soyuz-U2,,Soyuz 7K-STM No. 53,,SU,O,state
1987-064,2447001.88,7/25/87,1987,Proton-K,,Mech-K No. 304,,SU,O,state
1987-065,2447008.67,8/1/87,1987,Zenit-2,,EPN No. 03.695,,SU,O,state
1987-066,2447011.36,8/3/87,1987,Soyuz-U2,,Progress 7K-TG No. 138,,SU,O,state
1987-068,2447025.6,8/18/87,1987,Tsiklon-3,,Meteor-2 No. 21,,SU,O,state
1987-069,2447026.79,8/19/87,1987,Soyuz-U,,Oblik,,SU,O,state
1987-071,2447035.85,8/28/87,1987,Zenit-2,,EPN No. 03.695,,SU,O,state
1987-072,2447041.93,9/3/87,1987,Soyuz-U,,Oblik,,SU,O,state
1987-073,2447042.31,9/3/87,1987,Proton-K/DM,,Ekran No. 29L,,SU,O,state
1987-074,2447046.49,9/7/87,1987,Tsiklon-3,,Strela-3,,SU,O,state
1987-076,2447049.59,9/11/87,1987,Soyuz-U,,Terilen,,SU,O,state
1987-077,2447053.94,9/15/87,1987,Soyuz-U,,Resurs-F1 14F40 No. 107,,SU,O,state
1987-079,2447054.62,9/16/87,1987,Proton-K/DM-2,,Uragan No. 33L,,SU,O,state
1987-081,2447056.12,9/17/87,1987,Soyuz-U,,Kobal't,,SU,O,state
1987-082,2447062.49,9/23/87,1987,Soyuz-U2,,Progress 7K-TG No. 139,,SU,O,state
1987-083,2447068.03,9/29/87,1987,Soyuz-U,,Bion No. 8,,SU,O,state
1987-084,2447070.21,10/1/87,1987,Proton-K/DM-2,,Geizer No. 15L,,SU,O,state
1987-085,2447077.85,10/9/87,1987,Soyuz-U,,Oblik,,SU,O,state
1987-086,2447079.41,10/10/87,1987,Tsiklon-2,,US-PM,,SU,O,state
1987-087,2447083.02,10/14/87,1987,Kosmos 11K65M,,Parus,,SU,O,state
1987-088,2447088.88,10/20/87,1987,Tsiklon-3,,Tselina-D,,SU,O,state
1987-089,2447091.1,10/22/87,1987,Soyuz-U,,Kobal't,,SU,O,state
1987-091,2447097.14,10/28/87,1987,Proton-K/DM-2,,Oko-S F3,,SU,O,state
1987-092,2447110.88,11/11/87,1987,Soyuz-U,,Oblik,,SU,O,state
1987-093,2447113.9,11/14/87,1987,Soyuz-U,,Kometa No. 8,,SU,O,state
1987-094,2447120.49,11/20/87,1987,Soyuz-U2,,Progress 7K-TG No. 140,,SU,O,state
1987-096,2447126.06,11/26/87,1987,Proton-K/DM-2,,Al'tair No. 12L,,SU,O,state
1987-098,2447131.09,12/1/87,1987,Kosmos 11K65M,,Strela-2M,,SU,O,state
1987-099,2447136.87,12/7/87,1987,Soyuz-U,,Oblik,,SU,O,state
1988-100,2447480.63,11/15/88,1988,Energiya/Buran,,Buran OK-1K No. 711 (1K1,,SU,O,state
1988-001,2447166.82,1/6/88,1988,Tsiklon-3,,Tselina-D,,SU,O,state
1988-101,2447483.51,11/18/88,1988,Tsiklon-2,,US-PM,,SU,O,state
1988-002,2447175.66,1/15/88,1988,Tsiklon-3,,Strela-3,,SU,O,state
1988-102,2447489.12,11/23/88,1988,Zenit-2,,Tselina-2,,SU,O,state
1988-003,2447181.45,1/20/88,1988,Soyuz-U2,,Progress 7K-TG No. 142,,SU,O,state
1988-103,2447490.12,11/24/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-004,2447186.97,1/26/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-104,2447492.16,11/26/88,1988,Soyuz-U2,,Soyuz 7K-STM No. 57,,SU,O,state
1988-005,2447190.96,1/30/88,1988,Tsiklon-3,,Meteor-2 No. 20,,SU,O,state
1988-105,2447495.88,11/30/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-007,2447195.01,2/3/88,1988,Soyuz-U,,Kobal't,,SU,O,state
1988-107,2447504.12,12/8/88,1988,Soyuz-U-PVB,,Oblik,,SU,O,state
1988-108,2447506,12/10/88,1988,Proton-K/DM-2,,Ekran-M No. 12L,,SU,O,state
1988-009,2447208.52,2/17/88,1988,Proton-K/DM-2,,Uragan No. 36L,,SU,O,state
1988-010,2447209.91,2/18/88,1988,Soyuz-U,,Resurs-F1 14F40 No. 106,,SU,O,state
1988-110,2447512.29,12/16/88,1988,Soyuz-U,,Kobal't,,SU,O,state
1988-011,2447210.83,2/19/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-112,2447518.09,12/22/88,1988,Molniya 8K78M,ML,Molniya-3 No. 52,,SU,O,state
1988-013,2447217.9,2/26/88,1988,Molniya 8K78M,2BL,Oko,,SU,O,state
1988-113,2447518.81,12/23/88,1988,Tsiklon-3,,ESO,,SU,O,state
1988-114,2447520.67,12/25/88,1988,Soyuz-U2,,Progress 7K-TG No. 147,,SU,O,state
1988-015,2447230.94,3/10/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-115,2447523.73,12/28/88,1988,Molniya 8K78M,ML,Molniya-1 No. 63,,SU,O,state
1988-016,2447231.51,3/11/88,1988,Kosmos 11K65M,,Strela-1M,,SU,O,state
1988-116,2447524.92,12/29/88,1988,Soyuz-U,,Kometa No. 10,,SU,O,state
1988-017,2447231.78,3/11/88,1988,Molniya 8K78M,ML,Molniya-1!No. 65,,SU,O,state
1988-019,2447235.1,3/14/88,1988,Tsiklon-2,,US-A reactor,,SU,O,state
1988-020,2447236.28,3/15/88,1988,Tsiklon-3,,Tselina-D,,SU,O,state
1988-021,2447237.78,3/17/88,1988,Vostok 8A92M,,IRS-1A,,SU,O,state
1988-022,2447238.37,3/17/88,1988,Molniya 8K78M,ML,Molniya-1!No. 64,,SU,O,state
1988-023,2447243.09,3/22/88,1988,Kosmos 11K65M,,Parus,,SU,O,state
1988-024,2447244.38,3/23/88,1988,Soyuz-U2,,Progress 7K-TG No. 143,,SU,O,state
1988-025,2447245.09,3/24/88,1988,Soyuz-U,,Kobal't,,SU,O,state
1988-027,2447251,3/30/88,1988,Soyuz-U,,Terilen,,SU,O,state
1988-028,2447251.68,3/31/88,1988,Proton-K/DM,,Gorizont No. 26L,,SU,O,state
1988-029,2447257.11,4/5/88,1988,Kosmos 11K65M,,Strela-2M,,SU,O,state
1988-030,2447262.97,4/11/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-031,2447266.21,4/14/88,1988,Soyuz-U,,Foton No. 4L,,SU,O,state
1988-032,2447271.74,4/20/88,1988,Vostok 8A92M,,Resurs-O1 No. 2L,,SU,O,state
1988-034,2447277.64,4/26/88,1988,Proton-K/DM-2,,Geofizika?,,SU,O,state
1988-035,2447278.88,4/27/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-036,2447287.62,5/6/88,1988,Proton-K/DM,,Ekran No. 31L,,SU,O,state
1988-037,2447294.11,5/12/88,1988,Soyuz-U,,Kobal't,,SU,O,state
1988-038,2447294.52,5/13/88,1988,Soyuz-U2,,Progress 7K-TG No. 144,,SU,O,state
1988-039,2447296.89,5/15/88,1988,Zenit-2,,Tselina-2,,SU,O,state
1988-041,2447299.94,5/18/88,1988,Soyuz-U,,Kometa No. 9,,SU,O,state
1988-042,2447300.89,5/19/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-043,2447303.25,5/21/88,1988,Proton-K/DM-2,,Uragan No. 39L,,SU,O,state
1988-044,2447308.14,5/26/88,1988,Molniya 8K78M,ML,Molniya-3 No. 49,,SU,O,state
1988-045,2447309.62,5/28/88,1988,Tsiklon-2,,US-PU,,SU,O,state
1988-046,2447311.83,5/30/88,1988,Tsiklon-3,,Musson No. 21,,SU,O,state
1988-047,2447312.82,5/31/88,1988,Soyuz-U,,Resurs-F1 14F43 No. 28,,SU,O,state
1988-048,2447320.09,6/7/88,1988,Soyuz-U2,,Soyuz 7K-STM No. 55,,SU,O,state
1988-049,2447323.92,6/11/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-050,2447326.64,6/14/88,1988,Tsiklon-3,,Tselina-D,,SU,O,state
1988-053,2447334.18,6/21/88,1988,Kosmos 11K65M,,Strela-2M,,SU,O,state
1988-054,2447335.04,6/22/88,1988,Soyuz-U,,Kobal't,,SU,O,state
1988-055,2447335.82,6/23/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-056,2447347.91,7/5/88,1988,Tsiklon-3,,Okean-O1 NKhM No. 5,,SU,O,state
1988-057,2447349.84,7/7/88,1988,Soyuz-U,,Resurs-F1 14F43 No. 29,,SU,O,state
1988-058,2447350.23,7/7/88,1988,Proton-K/D-2,,1F No. 101,,SU,O,state
1988-059,2447355.21,7/12/88,1988,Proton-K/D-2,,1F No. 102,,SU,O,state
1988-060,2447356.99,7/14/88,1988,Kosmos 11K65M,,Vektor,,SU,O,state
1988-061,2447361.38,7/18/88,1988,Soyuz-U2,,Progress 7K-TG No. 145,,SU,O,state
1988-062,2447361.44,7/18/88,1988,Kosmos 11K65M,,Parus,,SU,O,state
1988-064,2447368.71,7/26/88,1988,Tsiklon-3,,Meteor-3 No. 3,,SU,O,state
1988-065,2447370.97,7/28/88,1988,Kosmos 11K65M,,Romb,,SU,O,state
1988-066,2447375.38,8/1/88,1988,Proton-K/DM-2,,Geizer No. 16L,,SU,O,state
1988-068,2447381.89,8/8/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-069,2447386.04,8/12/88,1988,Molniya 8K78M,ML,Molniya-1 No. 66,,SU,O,state
1988-070,2447390.04,8/16/88,1988,Soyuz-U,,Kobal't,,SU,O,state
1988-071,2447392.33,8/18/88,1988,Proton-K/DM-2,,Gorizont No. 28L,,SU,O,state
1988-072,2447396.89,8/23/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-073,2447396.97,8/23/88,1988,Soyuz-U,,Resurs-F2 17F42 No. 2,,SU,O,state
1988-075,2447402.68,8/29/88,1988,Soyuz-U2,,Soyuz 7K-STM No. 56,,SU,O,state
1988-076,2447404.09,8/30/88,1988,Molniya 8K78M,2BL,Oko,,SU,O,state
1988-079,2447410.81,9/6/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-082,2447413.94,9/9/88,1988,Soyuz-U,,Resurs-F1 14F43 No. 31,,SU,O,state
1988-083,2447414.48,9/9/88,1988,Soyuz-U2,,Progress 7K-TG No. 146,,SU,O,state
1988-084,2447420.12,9/15/88,1988,Soyuz-U,,Kobal't,,SU,O,state
1988-085,2447420.58,9/16/88,1988,Proton-K/DM-2,,Uragan No. 42L,,SU,O,state
1988-088,2447426.93,9/22/88,1988,Soyuz-U-PVB,,Oblik,,SU,O,state
1988-090,2447433.88,9/29/88,1988,Molniya 8K78M,ML,Molniya-3 No. 51,,SU,O,state
1988-092,2447438.43,10/3/88,1988,Molniya 8K78M,2BL,Oko,,SU,O,state
1988-093,2447445.83,10/11/88,1988,Tsiklon-3,,Tselina-D,,SU,O,state
1988-094,2447447.97,10/13/88,1988,Soyuz-U,,Oblik,,SU,O,state
1988-095,2447455.15,10/20/88,1988,Proton-K/DM-2,,Gran' No. 34L,,SU,O,state
1988-096,2447460.25,10/25/88,1988,Molniya 8K78M,2BL,Oko,,SU,O,state
1988-097,2447461.98,10/27/88,1988,Soyuz-U,,Oblik,,SU,O,state
1989-100,2447887.5,12/27/89,1989,Tsiklon-3,,Kol'tso,,SU,O,state
1989-001,2447536.59,1/10/89,1989,Proton-K/DM-2,,Uragan No. 27L,,SU,O,state
1989-101,2447887.97,12/27/89,1989,Proton-K/DM-2,,Al'tair No. 14L,,SU,O,state
1989-002,2447538.98,1/12/89,1989,Soyuz-U,,Resurs-F2 17F42 No. 3,,SU,O,state
1989-003,2447544.85,1/18/89,1989,Soyuz-U,,Oblik,,SU,O,state
1989-004,2447552.89,1/26/89,1989,Proton-K/DM-2,,Gorizont No. 29L,,SU,O,state
1989-005,2447553.15,1/26/89,1989,Kosmos 11K65M,,Strela-2M,,SU,O,state
1989-007,2447555.02,1/28/89,1989,Soyuz-U,,Kobal't,,SU,O,state
1989-008,2447567.87,2/10/89,1989,Soyuz-U2,,Progress 7K-TG No. 148,,SU,O,state
1989-009,2447568.13,2/10/89,1989,Tsiklon-3,,Strela-3,,SU,O,state
1989-010,2447568.2,2/10/89,1989,Soyuz-U,,Oblik,,SU,O,state
1989-011,2447571.68,2/14/89,1989,Molniya 8K78M,2BL,Oko,,SU,O,state
1989-012,2447572.21,2/14/89,1989,Kosmos 11K65M,,Duga-K,,SU,O,state
1989-014,2447572.96,2/15/89,1989,Molniya 8K78M,ML,Molniya-1 11F658 No. 84,,SU,O,state
1989-015,2447575.12,2/17/89,1989,Soyuz-U,,Oblik,,SU,O,state
1989-017,2447579.65,2/22/89,1989,Kosmos 11K65M,,Parus,,SU,O,state
1989-018,2447585.67,2/28/89,1989,Tsiklon-3,,Meteor-2 No. 22,,SU,O,state
1989-019,2447588.29,3/2/89,1989,Soyuz-U,,Kobal't,,SU,O,state
1989-022,2447602.12,3/16/89,1989,Soyuz-U-PVB,,Oblik,,SU,O,state
1989-023,2447602.29,3/16/89,1989,Soyuz-U2,,Progress 7K-TG No. 149,,SU,O,state
1989-024,2447609.02,3/23/89,1989,Soyuz-U,,Terilen,,SU,O,state
1989-025,2447610.07,3/24/89,1989,Kosmos 11K65M,,Strela-1M,,SU,O,state
1989-028,2447621.28,4/4/89,1989,Kosmos 11K65M,,Parus,,SU,O,state
1989-029,2447623.08,4/6/89,1989,Soyuz-U-PVB,,Oblik,,SU,O,state
1989-030,2447630.67,4/14/89,1989,Proton-K/DM-2,,Gran' No. 33L,,SU,O,state
1989-031,2447637.27,4/20/89,1989,Soyuz-U,,Kobal't,,SU,O,state
1989-032,2447643.21,4/26/89,1989,Soyuz-U,,Foton No. 5L,,SU,O,state
1989-034,2447652.04,5/5/89,1989,Soyuz-U-PVB,,Oblik,,SU,O,state
1989-036,2447664.04,5/17/89,1989,Soyuz-U,,Kobal't,,SU,O,state
1989-037,2447670.94,5/24/89,1989,Soyuz-U,,Kometa No. 11,,SU,O,state
1989-038,2447671.87,5/25/89,1989,Soyuz-U-PVB,,Resurs-F1 14F43 No. 45,,SU,O,state
1989-039,2447677.86,5/31/89,1989,Proton-K/DM-2,,Uragan No. 28L,,SU,O,state
1989-040,2447679.04,6/1/89,1989,Soyuz-U,,Oblik,,SU,O,state
1989-042,2447684.72,6/7/89,1989,Kosmos 11K65M,,Parus,,SU,O,state
1989-043,2447686.22,6/8/89,1989,Molniya 8K78M,ML,Molniya-3 No. 45,,SU,O,state
1989-045,2447692.02,6/14/89,1989,Kosmos 11K65M,,Vektor,,SU,O,state
1989-047,2447693.9,6/16/89,1989,Soyuz-U,,Oblik,,SU,O,state
1989-048,2447699.48,6/21/89,1989,Proton-K/DM-2,,Globus No. 11,,SU,O,state
1989-049,2447704.84,6/27/89,1989,Soyuz-U,,Resurs-F1 14F43 No. 46,,SU,O,state
1989-050,2447712.14,7/4/89,1989,Kosmos 11K65M,,Nadehzda 17F118 No. 403,,SU,O,state
1989-051,2447712.83,7/5/89,1989,Soyuz-U-PVB,,Oblik,,SU,O,state
1989-052,2447713.45,7/5/89,1989,Proton-K/DM-2,,Gorizont No. 27L,,SU,O,state
1989-054,2447720.12,7/12/89,1989,Soyuz-U,,Kobal't,,SU,O,state
1989-055,2447725.91,7/18/89,1989,Soyuz-U,,Resurs-F1 14F43 No. 47,,SU,O,state
1989-056,2447726.01,7/18/89,1989,Soyuz-U,,Orlets,,SU,O,state
1989-057,2447727.87,7/20/89,1989,Soyuz-U,,Oblik,,SU,O,state
1989-058,2447731.5,7/24/89,1989,Tsiklon-2,,US-PM,,SU,O,state
1989-059,2447732.83,7/25/89,1989,Kosmos 11K65M,,Parus,,SU,O,state
1989-060,2447740.98,8/2/89,1989,Soyuz-U,,Oblik,,SU,O,state
1989-063,2447753.94,8/15/89,1989,Soyuz-U,,Resurs-F2 17F42 No. 4,,SU,O,state
1989-065,2447761.04,8/22/89,1989,Soyuz-U,,Oblik,,SU,O,state
1989-066,2447761.63,8/23/89,1989,Soyuz-U2,,Progress 7K-TGM No. 201,,SU,O,state
1989-068,2447766.51,8/28/89,1989,Tsiklon-3,,Musson No. 20,,SU,O,state
1989-071,2447775.4,9/5/89,1989,Soyuz-U2,,Soyuz 7K-STM No. 58,,SU,O,state
1989-073,2447775.95,9/6/89,1989,Soyuz-U-PVB,,Resurs-F1 14F43 No. 48,,SU,O,state
1989-074,2447783.91,9/14/89,1989,Tsiklon-3,,Strela-3,,SU,O,state
1989-075,2447784.77,9/15/89,1989,Soyuz-U,,Bion No. 9,,SU,O,state
1989-076,2447791.83,9/22/89,1989,Soyuz-U,,Oblik,,SU,O,state
1989-078,2447797.11,9/27/89,1989,Molniya 8K78M,ML,Molniya-1 No. 69,,SU,O,state
1989-079,2447797.18,9/27/89,1989,Tsiklon-2,,US-PU,,SU,O,state
1989-080,2447797.5,9/28/89,1989,Tsiklon-3,,AUOS-Z No. 201,,SU,O,state
1989-081,2447798.21,9/28/89,1989,Proton-K/DM-2,,Gorizont No. 31L,,SU,O,state
1989-082,2447803.12,10/3/89,1989,Soyuz-U,,Kobal't,,SU,O,state
1989-083,2447817.04,10/17/89,1989,Soyuz-U,,Oblik,,SU,O,state
1989-086,2447824.4,10/24/89,1989,Tsiklon-3,,Meteor-3 No. 4,,SU,O,state
1989-088,2447847.95,11/17/89,1989,Soyuz-U,,Terilen,,SU,O,state
1989-091,2447854.36,11/23/89,1989,Molniya 8K78M,2BL,Oko,,SU,O,state
1989-092,2447855.47,11/24/89,1989,Tsiklon-2,,US-PM,,SU,O,state
1989-093,2447857.04,11/26/89,1989,Proton-K,,TsM-D,,SU,O,state
1989-094,2447858.92,11/28/89,1989,Molniya 8K78M,ML,Molniya-3 No. 46,,SU,O,state
1989-095,2447861.13,11/30/89,1989,Soyuz-U,,Kobal't,,SU,O,state
1989-096,2447862.35,12/1/89,1989,Proton-K/D-1,,1AS No. 1,,SU,O,state
1989-098,2447875.98,12/15/89,1989,Proton-K/DM-2,,Gran' No. 36L,,SU,O,state
1989-099,2447880.65,12/20/89,1989,Soyuz-U2,,Progress 7K-TGM No. 202,,SU,O,state
1990-101,2448218.66,11/23/90,1990,Molniya 8K78M,ML,Molniya-1T No. 70,,SU,O,state
1990-102,2448219.06,11/23/90,1990,Proton-K/DM-2,,Gorizont No. 33L,,SU,O,state
1990-003,2447909.11,1/17/90,1990,Soyuz-U,,Oblik,,SU,O,state
1990-004,2447910.04,1/18/90,1990,Kosmos 11K65M,,Strela-2M,,SU,O,state
1990-104,2448224.19,11/28/90,1990,Tsiklon-3,,Kol'tso,,SU,O,state
1990-006,2447914.62,1/23/90,1990,Molniya 8K78M,ML,Molniya-3 No. 53,,SU,O,state
1990-107,2448227.84,12/2/90,1990,Soyuz-U2,,Soyuz 7K-STM No. 61,,SU,O,state
1990-108,2448229.53,12/4/90,1990,Tsiklon-2,,US-PM,,SU,O,state
1990-009,2447917.22,1/25/90,1990,Soyuz-U,,Kobal't,,SU,O,state
1990-109,2448230.27,12/4/90,1990,Soyuz-U,,Kobal't,,SU,O,state
1990-010,2447921.97,1/30/90,1990,Tsiklon-3,,Tselina-R,,SU,O,state
1990-110,2448233.61,12/8/90,1990,Proton-K/DM-2,,Uragan No. 47L,,SU,O,state
1990-111,2448235.83,12/10/90,1990,Kosmos 11K65M,,Strela-2M,,SU,O,state
1990-012,2447929.19,2/6/90,1990,Kosmos 11K65M,,Duga-K,,SU,O,state
1990-112,2448245.98,12/20/90,1990,Proton-K/DM-2,,Gran' No. 37L,,SU,O,state
1990-113,2448246.76,12/21/90,1990,Soyuz-U,,Terilen,,SU,O,state
1990-014,2447933.76,2/11/90,1990,Soyuz-U2,,Soyuz 7K-STM No. 60,,SU,O,state
1990-114,2448247.81,12/22/90,1990,Tsiklon-3,,Strela-3,,SU,O,state
1990-115,2448251.97,12/26/90,1990,Soyuz-U-PVB,,Oblik,,SU,O,state
1990-016,2447937.83,2/15/90,1990,Proton-K/DM-2,,Gran' No. 35L,,SU,O,state
1990-116,2448252.96,12/27/90,1990,Proton-K/DM-2,,Globus No. 12,,SU,O,state
1990-017,2447950.37,2/27/90,1990,Kosmos 11K65M,,Nadezhda 17F118 No. 405,,SU,O,state
1990-018,2447950.54,2/28/90,1990,Tsiklon-3,,Okean-O1 No. 5/NKhM No.,,SU,O,state
1990-020,2447951.47,2/28/90,1990,Soyuz-U2,,Progress 7K-TGM No. 203,,SU,O,state
1990-022,2447965.14,3/14/90,1990,Tsiklon-2,,US-PM,,SU,O,state
1990-023,2447970.52,3/20/90,1990,Kosmos 11K65M,,Parus,,SU,O,state
1990-024,2447972.81,3/22/90,1990,Soyuz-U,,Oblik,,SU,O,state
1990-026,2447978.19,3/27/90,1990,Molniya 8K78M,2BL,Oko,,SU,O,state
1990-029,2447987.63,4/6/90,1990,Kosmos 11K65M,,Strela-1M,,SU,O,state
1990-032,2447993.21,4/11/90,1990,Soyuz-U,,Foton No. 6L,,SU,O,state
1990-033,2447995.29,4/13/90,1990,Soyuz-U,,Terilen,,SU,O,state
1990-035,2447998.83,4/17/90,1990,Soyuz-U,,Oblik,,SU,O,state
1990-036,2448002.28,4/20/90,1990,Kosmos 11K65M,,Parus,,SU,O,state
1990-038,2448007.04,4/25/90,1990,Kosmos 11K65M,,Romb,,SU,O,state
1990-039,2448007.57,4/26/90,1990,Molniya 8K78M,ML,Molniya-1 No. 71,,SU,O,state
1990-040,2448009.98,4/28/90,1990,Molniya 8K78M,2BL,Oko,,SU,O,state
1990-041,2448017.36,5/5/90,1990,Soyuz-U2,,Progress 7K-TG No. 150,,SU,O,state
1990-042,2448019.28,5/7/90,1990,Soyuz-U,,Kobal't,,SU,O,state
1990-044,2448026.91,5/15/90,1990,Soyuz-U,,Kometa No. 12,,SU,O,state
1990-045,2448030.86,5/19/90,1990,Proton-K/DM-2,,Uragan No. 46L,,SU,O,state
1990-046,2448033.72,5/22/90,1990,Zenit-2,,Tselina-2,,SU,O,state
1990-047,2448040.81,5/29/90,1990,Soyuz-U,,Resurs-F1 14F43 No. 50,,SU,O,state
1990-048,2448042.94,5/31/90,1990,Proton-K,,TsM-T 77KST No. 17201,,SU,O,state
1990-052,2448055.55,6/13/90,1990,Molniya 8K78M,ML,Molniya-3 No. 47,,SU,O,state
1990-053,2448061.86,6/19/90,1990,Soyuz-U,,Oblik,,SU,O,state
1990-054,2448063.48,6/20/90,1990,Proton-K/DM,,Gorizont No. 30L,,SU,O,state
1990-055,2448064.37,6/21/90,1990,Molniya 8K78M,2BL,Oko,,SU,O,state
1990-057,2448070.44,6/27/90,1990,Tsiklon-3,,Meteor-2 No. 23,,SU,O,state
1990-058,2448083.92,7/11/90,1990,Soyuz-U2,,Gamma No. 1L,,SU,O,state
1990-060,2448089.9,7/17/90,1990,Soyuz-U-PVB,,Resurs-F2 17F42 No. 5,,SU,O,state
1990-061,2448091.41,7/18/90,1990,Proton-K/DM-2,,Geizer No. 17L,,SU,O,state
1990-062,2448092.86,7/20/90,1990,Soyuz-U,,Oblik,,SU,O,state
1990-064,2448098.26,7/25/90,1990,Molniya 8K78M-PVB,2BL,Oko,,SU,O,state
1990-066,2448102.5,7/30/90,1990,Tsiklon-3,,Musson No. 22,,SU,O,state
1990-067,2448104.9,8/1/90,1990,Soyuz-U2,,Soyuz 7K-STM No. 61A,,SU,O,state
1990-069,2448107.32,8/3/90,1990,Soyuz-U-PVB,,Kobal't,,SU,O,state
1990-070,2448111.68,8/8/90,1990,Tsiklon-3,,Strela-3,,SU,O,state
1990-071,2448114.35,8/10/90,1990,Molniya 8K78M,ML,Molniya-1T No. 68,,SU,O,state
1990-072,2448118.67,8/15/90,1990,Soyuz-U2,,Progress 7K-TGM No. 204,,SU,O,state
1990-073,2448119.91,8/16/90,1990,Soyuz-U-PVB,,Resurs-F1 14F43 No. 49,,SU,O,state
1990-075,2448127.18,8/23/90,1990,Tsiklon-2,,US-PM,,SU,O,state
1990-076,2448131.83,8/28/90,1990,Molniya 8K78M-PVB,2BL,Oko,,SU,O,state
1990-078,2448132.16,8/28/90,1990,Kosmos 11K65M,,Vektor,,SU,O,state
1990-080,2448134.83,8/31/90,1990,Soyuz-U,,Oblik,,SU,O,state
1990-082,2448142,9/7/90,1990,Soyuz-U-PVB,,Resurs-F1 14F43 No. 51,,SU,O,state
1990-083,2448148.75,9/14/90,1990,Kosmos 11K65M,,Parus,,SU,O,state
1990-084,2448155.35,9/20/90,1990,Molniya 8K78M,ML,Molniya-3 No. 54,,SU,O,state
1990-085,2448161.94,9/27/90,1990,Soyuz-U2,,Progress 7K-TGM No. 206,,SU,O,state
1990-086,2448162.81,9/28/90,1990,Tsiklon-3,,Meteor-2 No. 25,,SU,O,state
1990-087,2448165.96,10/1/90,1990,Soyuz-U2,,Orlets,,SU,O,state
1990-092,2448181.29,10/16/90,1990,Soyuz-U,,Kobal't,,SU,O,state
1990-094,2448199.11,11/3/90,1990,Proton-K/DM-2,,Gorizont No. 32L,,SU,O,state
1990-096,2448209.77,11/14/90,1990,Tsiklon-2,,US-PM,,SU,O,state
1990-098,2448212.19,11/16/90,1990,Soyuz-U,,Oblik,,SU,O,state
1990-099,2448215.61,11/20/90,1990,Molniya 8K78M-PVB,2BL,Oko,,SU,O,state
1991-002,2448271.12,1/14/91,1991,Soyuz-U2,,Progress 7K-TGM No. 205,,SU,O,state
1991-004,2448273.94,1/17/91,1991,Soyuz-U-PVB,,Oblik,,SU,O,state
1991-005,2448274.98,1/18/91,1991,Tsiklon-2,,US-PU,,SU,O,state
1991-006,2448286,1/29/91,1991,Kosmos 11K65M,,Informator No. 1,,SU,O,state
1991-007,2448292.61,2/5/91,1991,Kosmos 11K65M,,Tsikada/RS-12/RS-13,,SU,O,state
1991-008,2448295.26,2/7/91,1991,Soyuz-U,,Kobal't,,SU,O,state
1991-009,2448299.61,2/12/91,1991,Kosmos 11K65M,,Strela-1M,,SU,O,state
1991-010,2448301.86,2/14/91,1991,Proton-K/DM-2,,Oko-1 No. 7120,,SU,O,state
1991-011,2448302.9,2/15/91,1991,Soyuz-U,,Kometa No. 13,,SU,O,state
1991-012,2448303.14,2/15/91,1991,Molniya 8K78M,ML,Molniya-1T No. 73?,,SU,O,state
1991-013,2448313.7,2/26/91,1991,Kosmos 11K65M,,Parus,,SU,O,state
1991-014,2448315.73,2/28/91,1991,Proton-K/DM-2,,Gran' No. 38L,,SU,O,state
1991-016,2448322.15,3/6/91,1991,Soyuz-U-PVB,,Oblik,,SU,O,state
1991-019,2448328.31,3/12/91,1991,Kosmos 11K65M,,Nadezhda 17F118 No. 409,,SU,O,state
1991-020,2448335.05,3/19/91,1991,Soyuz-U2,,Progress 7K-TGM No. 208,,SU,O,state
1991-021,2448335.1,3/19/91,1991,Kosmos 11K65M,,Taifun-1B,,SU,O,state
1991-022,2448338.01,3/22/91,1991,Molniya 8K78M,ML,Molniya-3 No. 55,,SU,O,state
1991-023,2448342.07,3/26/91,1991,Soyuz-U,,Kobal't,,SU,O,state
